,method,workers,N,delay,pi,delay_per_point
983,threading,4,55600000,40.69433069229126,3.0608515841634603,7.319124225232241e-07
984,multiprocessing,4,55600000,3.0029451847076416,3.060643423815517,5.4009805480353264e-08
985,threading,5,55600000,40.74549889564514,3.0608021641299215,7.328327139504521e-07
986,multiprocessing,5,55600000,2.4232356548309326,3.060850982369181,4.3583375086887274e-08
987,threading,6,55600000,40.84785795211792,3.0607417639779686,7.346737041747828e-07
988,multiprocessing,6,55600000,2.04636812210083,3.0607242622398942,3.68051820521732e-08
989,threading,7,55600000,40.37609004974365,3.0607857986419424,7.261886699594182e-07
990,multiprocessing,7,55600000,1.8117966651916504,3.0609263534315203,3.258627095668436e-08
991,threading,8,55600000,40.89252948760986,3.0607952039909927,7.354771490577313e-07
992,multiprocessing,8,55600000,1.5451617240905762,3.060836027942859,2.77906784908377e-08
993,threading,9,55600000,40.64410066604614,3.0607526686318547,7.310090047850025e-07
994,multiprocessing,9,55600000,1.376197338104248,3.060736887553213,2.4751750685328202e-08
995,threading,10,55600000,41.06103825569153,3.060875228707447,7.385078822966102e-07
996,multiprocessing,10,55600000,1.2392489910125732,3.060788525810507,2.2288650917492324e-08
997,threading,11,55600000,41.75684833526611,3.0607419324258696,7.510224520731316e-07
998,multiprocessing,11,55600000,1.1431615352630615,3.060812144233274,2.056045926732125e-08
999,threading,12,55600000,41.60125541687012,3.0608530691181906,7.482240182890309e-07
1000,multiprocessing,12,55600000,1.101583480834961,3.060840387565111,1.9812652533002895e-08
1001,threading,13,55600000,40.63896083831787,3.0607698379736705,7.309165618402495e-07
1002,multiprocessing,13,55600000,1.021836757659912,3.061002563382314,1.8378358950717843e-08
1003,threading,14,55600000,41.152411222457886,3.0604431259816613,7.401512809794584e-07
1004,multiprocessing,14,55600000,0.9517810344696045,3.0606272626762503,1.7118363929309434e-08
1005,threading,15,55600000,41.12050437927246,3.060777225707701,7.395774168933896e-07
1006,multiprocessing,15,55600000,0.9205787181854248,3.0606635332979812,1.6557171190385338e-08
1007,threading,16,55600000,40.83701944351196,3.0607818297020577,7.344787669696397e-07
1008,multiprocessing,16,55600000,0.8589346408843994,3.060810543698525,1.5448464764107902e-08
1009,threading,17,55600000,40.681270599365234,3.060702917998014,7.316775287655617e-07
1010,multiprocessing,17,55600000,0.8176553249359131,3.0608677692506605,1.4706031024027214e-08
